level,learning_goals,theme,sheet_width,task,layout,answer,html_file
2nd year fundamental,"['addition', 'logical reasoning', 'problem-solving']","books and sharing",600px,"The objective of this activity is for the student to calculate the total number of books owned by two sisters by adding the number of books each received.","The activity is organized with a scenario description at the top, followed by an illustration representing the story context. Below the description and image, there is a section for writing the final answer.","To correctly answer this activity, the student will calculate the sum of books received by each sister (4 + 4 = 8). The correct answer is '8 books'."

2nd year fundamental,"['addition', 'logical reasoning', 'problem-solving']","ages",600px,"The objective of this activity is for the student to calculate the age of a person by adding the given ages.","The activity is structured with a description of the problem at the top, explaining Monica's age and the age difference between her and Dora. Below the description, there is an illustration visually representing Monica and Dora to engage the student and provide context. A detailed explanation of the image is included to guide the student in understanding the relationship between the two characters. At the bottom, there is a section with a large answer box where the student will write the solution.","The image shows Monica, who is 2 years old, standing next to Dora, who is 2 years older. This visual clue emphasizes the age difference and provides a reference for the addition problem.","To correctly answer this activity, the student will calculate the sum of Monica's age (2 years) and the difference in age with Dora (2 years). The calculation is 2 + 2 = 4. The correct answer is '4 years.'"


2nd year of fundamental,"['addition', 'counting']","balloons",600px,"To practice counting and addition skills by counting the balloons in the first image and adding a specific number to the count, then illustrating the new total.","The activity consists of a 1-line layout organized into two columns, with two images placed side by side. The first image shows a bunch of balloons, and the second image is an empty area for the student to illustrate the new total after addition.","To correctly answer this activity, the student needs to count the balloons in the first image (10 balloons), then add 4 more balloons to the count (10 + 4 = 14). The student should illustrate 14 balloons in the second image."

Level,Learning Goals,Theme,Sheet Width,Task,Layout,Image Explanation,Answer
2nd year fundamental,"counting, logical reasoning, place value",raindrops,600px,"The objective of this activity is for the student to count raindrops, interpret their value as units, and convert them into dozens.","The activity is organized with a description at the top that explains the task. Below the description, there is a centered image of raindrops. Following the image, there are questions prompting the student to count, convert, and write their answers in the provided boxes.",The image shows raindrops falling into puddles. This visual clue emphasizes the value of units and dozens.,"To correctly answer this activity, the student will count the raindrops (10), and you must write the number 10 in the answer box."

2nd year fundamental,"addition, logical reasoning, problem-solving",food and quantities,600px,The objective of this activity is for the student to calculate the total number of sandwiches eaten by three boys based on the given quantities.,"The activity is organized with a scenario description at the top, followed by an illustration that visually represents the sandwiches eaten by the boys. Below the description and image, there is a section for the student to calculate and input their answer in a box.","The illustration shows Bruno with 2 cheese sandwiches and Pedro and Tiago sharing 5 ham sandwiches, visually representing the problem for better understanding.","To correctly answer this activity, the student will add the sandwiches eaten by Bruno (2 sandwiches) to the sandwiches eaten by Pedro and Tiago together (5 sandwiches). The calculation is 2 + 5 = 7. The correct answer is '7 sandwiches.'"


2nd year fundamental,"addition, logical reasoning, visual representation",aquatic life,600px,Draw the fish in the tanks and calculate the total number of fish.,"Two fish tanks at the top, each labeled with the number of fish inside, followed by an addition equation and answer box.",3 fish + 4 fish = 7 fish.

2nd year fundamental,"addition, problem-solving, logical reasoning",cards,600px,Calculate the total number of cards held by two characters.,"Illustration of two characters showing the number of cards they hold, followed by a question and answer box.",53 cards + 40 cards = 93 cards.

2nd year fundamental,"addition, problem-solving, logical reasoning",reading and books,600px,Calculate the total number of pages Jacob has read by adding the pages read last week and this week.,"Scenario description at the top, followed by an illustration of Jacob reading a book, and a question with an answer box below.",36 pages + 7 pages = 43 pages.


2nd year fundamental,"addition, problem-solving, logical reasoning",shop and drinks,600px,Calculate the total number of drinks in the shop by adding orange and grape drinks.,"Scenario description at the top, followed by an illustration of the shop and drinks, and a question with an answer box below.",28 orange drinks + 37 grape drinks = 65 drinks.

2st year fundamental,"addition, visual representation, problem-solving",flowers and counting,600px,Calculate the total number of flowers Mango has by drawing and adding.,"Scenario description at the top, followed by two large boxes for drawing, and three smaller boxes for writing numbers and calculating the sum.",2 flowers + 3 flowers = 5 flowers.


2nd year fundamental,"addition, logical reasoning, measurement","volume and capacity",600px,"Observe the image of the jars and calculate the total volume of water by adding their capacities.","The activity is organized with a description at the top, followed by an illustration showing two jars labeled with their capacities. Below the image, a question prompts the student to calculate the total amount of water in the jars.","The student will add the volume of the first jar (1 liter) and the second jar (2 liters). The correct answer is '3 liters.'"

2st year fundamental,"counting, logical reasoning","animals",600px,"Observe the image of sheep and count their total number.","The activity is organized with a description at the top, followed by an illustration of sheep. Below the image, a question prompts the student to count the sheep and input the total number in the answer box.","The student will count the sheep in the image. The correct answer is '4 sheep.'"

2nd year fundamental,"addition, subtraction, comparison","stickers and numbers",600px,"Calculate and compare the total number of stickers each boy has.","The activity is organized with a description at the top, followed by an illustration of Roberto and Pedro with their stickers. Below the image, there are two questions prompting the student to calculate totals and compare.","Roberto has 61 stickers, and Pedro has 62 stickers. For Question A, the correct answer is 'Pedro.' For Question B, the correct answer is '1 sticker.'"

2nd year fundamental,"word recognition, letter counting, logical reasoning","farm life",600px,"Observe farm-related words and count their letters.","The activity is organized with a description at the top, followed by an illustration of a farm. Below the image, there are three labeled boxes for the student to count and input the number of letters for each word.","The correct answers are: 'Curral' (6 letters), 'Plantação' (9 letters), and 'Trator' (6 letters)."

2nd year fundamental,"counting","animal weights",600px,"Observe Amanda's cats and identify the heaviest one.","The activity is organized with a description at the top, followed by an illustration of Amanda's cats with their weights labeled. Below the image, the student is prompted to circle the heaviest cat.","The student will observe the weights (2 kg, 3 kg, 4 kg) and circle the heaviest cat, which is 4 kg."

2nd year fundamental,"counting, comparison, logical reasoning","families and numbers",600px,"Count and compare the number of people in each family drawing.","The activity is organized with a description at the top, followed by illustrations of three families. Below the images, the student answers questions about numbers and differences.","Felipe's family has 4 people, Eduardo's has 6 people, and Patrícia's has 7 people. The correct answers are: A) '4, 6, 7', B) 'Patrícia's family', C) '2 people.'"

2nd year fundamental,"addition","numbers",600px,"Solve riddles involving numbers by reasoning and filling in answers.","The activity is organized into two riddles, each describing a numerical clue. At the top, there is an illustration related to numbers. Below the image, the riddles are presented with answer boxes.","The correct answers are: A) '5', B) '7'."
1st year fundamental,"counting, number recognition, logical sequence","animals",600px,"Count the crabs and complete the boxes with their numeric and written forms.","The activity is organized with a description at the top, followed by images showing an increasing number of crabs. Each step has a blank box for numeric and written forms.","The correct answers are: '2, two', '3, three', and '4, four.'"

2nd year fundamental,"addition","St. John's",600px,"Count and add the number of cakes and flags in the image.","The activity is organized with a description at the top, followed by an image of cakes and party flags. Below the image, there are three questions prompting the student to count and add.","The correct answers are: A) '4 cakes', B) '6 flags', C) '10'."

